,sta0_datasz,sta10_datasz,sta2_datasz,sta3_datasz,sta4_datasz,sta5_datasz,sta6_datasz,sta7_datasz,sta8_datasz,sta1_datasz,sta9_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta10,training_time_sta10,host_consumption_sta7,training_time_sta7,consumption_sta8,consumption_sta4,consumption_sta0,consumption_sta1,consumption_sta10,consumption_sta6,consumption_sta2,consumption_sta3,consumption_sta5,consumption_sta9,consumption_sta7,mean_acc,host_consumption_sta4,training_time_sta4,host_consumption_sta6,training_time_sta6,host_consumption_sta9,training_time_sta9,host_consumption_sta3,training_time_sta3,host_consumption_sta5,training_time_sta5
51,,,,,,,,,,,,192957758,4.326115846633911,,,673188828,20.58598756790161,35104.27486901107,40536.8719379355,48974.05343239087,48546.156467451816,42130.63757120576,33039.13310253755,48451.26946235894,30453.163683556686,30782.86554280209,39962.39030016019,27666.1885814227,0.9879123622720892,,,440105440.0,10.51541781425476,,,500489747.0,12.327248573303223,501492735.0,12.357695817947388
52,,,,,,,,,,,,226300508,5.172001123428345,,,514485194,12.844684600830078,35637.803442928605,41124.1866528,49907.789999452005,49448.61335296076,42773.16846754715,33543.06425005045,49199.35035703325,30831.217652202904,31214.838775451983,40535.654144440254,28079.195828246204,0.9874150969765403,,,435953779.0,10.43716549873352,,,502867121.0,12.39864993095398,505854479.0,12.495260953903198
53,,,,,,,,,,,,191889829,4.317156076431274,,,511996797,12.857943296432495,36158.39156478026,41832.6835606449,50477.25310621842,50071.84436854941,43328.3493662047,34005.02954603899,49982.090074999134,31284.183355613855,31748.599774746817,41083.94660020817,28473.816962916422,0.9873445304957303,,,436743023.0,10.456170797348022,,,498437994.0,12.311656951904297,500570313.0,12.38512372970581
54,,,,,,,,,,,,189941652,4.26870059967041,,,514766200,12.873978614807129,36679.70026094343,42452.49337196958,51207.70594046115,50789.6939317163,43954.83076826455,34620.871121507014,50736.30546702472,31755.901068140145,32201.52580038785,41670.45534554127,29020.954309020468,0.9883222579956055,,,438471107.0,10.509740591049194,,,501571531.0,12.356971740722656,503515557.0,12.416084051132202
55,,,,,,,,,,,,189329960,4.267855167388916,,,510107520,12.789865732192993,37325.80128077307,43000.42130585353,51922.30172862484,51455.00634901338,44552.61990592561,35138.98386604602,51462.196265732484,32175.38348931843,32626.56734408911,42497.059886023264,29439.892978187127,0.9878852042284879,,,436157575.0,10.475048780441284,,,500141542.0,12.39538860321045,502768306.0,12.482252597808838
56,,,,,,,,,,,,192149044,4.31657338142395,,,516247335,12.846183776855469,37860.4955403129,43593.502750716485,52608.27922082241,52109.97107481998,45387.43763864038,35617.21943439739,52149.03288495592,32666.895347954618,33067.79402596882,43114.93338335952,29850.658390390236,0.9884126077998768,,,438855200.0,10.473958730697632,,,501933956.0,12.305572271347046,506967818.0,12.46631669998169
57,,,,,,,,,,,,187875129,4.245818138122559,,,513482694,12.870855331420898,38343.274632115776,44182.52489682898,53540.93920828683,52973.09295758076,45935.99152246283,36086.360754003246,53165.263045626336,33244.54609921311,33499.91509513422,43690.732360635426,30231.932968850306,0.9882339401678606,,,439618930.0,10.549248933792114,,,500492799.0,12.338433742523193,503659782.0,12.441894292831421
58,,,,,,,,,,,,189382572,4.249135732650757,,,516829549,12.879577159881592,38859.88819904711,44922.94280687448,54217.76885195384,53623.90959353111,46574.066451526945,36586.526224393565,53879.93425627906,33697.35280151484,34094.2635126079,44305.733613204626,30661.07488435904,0.9881805398247459,,,438782385.0,10.455788612365723,,,500960998.0,12.286168813705444,505805773.0,12.441476583480835
59,,,,,,,,,,,,190867065,4.2739222049713135,,,-261629235562,12.75400972366333,39704.3960374712,45789.71744955704,55379.91049116157,54665.590727497176,47599.11846194152,37379.25564075309,54891.19559729871,34366.30702148759,34768.314272629985,45279.089165197904,31304.441472398034,0.9882576194676486,,,-261704931597.0,10.445473194122314,,,-261639525148.0,12.367717742919922,-261469996712.0,20.60494041442871
60,,,,,,,,,,,,188050788,4.266138315200806,,,511383518,12.858139753341675,40243.42341010744,46364.2063072271,56187.728520840516,55646.791329092484,48263.757548742986,37859.148737697804,55834.224729037516,34877.72796430321,35187.277164494386,45913.90860715497,31725.66394235748,0.9882711984894492,,,434701646.0,10.470250844955444,,,502364193.0,12.459871768951416,500606202.0,12.416406154632568
